Item #,Designator,Qty,Manufacturer,Mfg Part #,Description / Value,Footprint,Type,Your Instructions / Notes
1,"C1,C3",2,Murata,GRM155C81C225KE11D,CAP CER 2.2uF 16V 10% X6S 0402,Capacitor_SMD:C_0402_1005Metric,SMD,5V DC DERATED TO 1uF
2,"C5,C6,C12,C13,C14,C17,C18,C20",8,Murata,GRM033R60J224KE15D,CAP CER 0.22uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,3.3V DC DERATED TO 0.1uF
3,C7,1,Murata,GRM033R60J224KE15D,CAP CER 0.22uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.55V DC VAG DERATED TO 0.1uF
4,"C8,C9,C10",3,Murata,GRM033C80J105ME05D,CAP CER 1uF 6.3V 20% X6S 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.55V DC AUDIO
5,"C4,C11",2,Murata,GRM035R60J475ME15D,CAP CER 4.7uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,3.3V DC DERATED TO 1uF
6,C16,1,Murata,GRM033R60J224KE15D,CAP CER 0.22uF 6.3V 20% X5R 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.2V DC DERATED TO 0.1uF
7,"C2,C15,C19",3,Murata,GRM033C80J105ME05D,CAP CER 1uF 6.3V 20% X6S 0201,Capacitor_SMD:C_0201_0603Metric,SMD,1.2V DC
8,"D1,D2",2,Nexperia,"PMEG2010BELD,315",DIODE SCHOTTKY 20V 1A LOW VF SOD882D,Nexperia:D_SOD-882D,SMD,
9,D3,1,Lumex,SML-LX0201USBC-TR,LED BLUE Vf=2.6V If=2mA 15mcd 0201,Lumex:SML-LX0201,SMD,
10,D4,1,Lumex,SML-LX0201UPGC-TR,LED GREEN Vf=2.5V If=2mA 100mcd 0201,Lumex:SML-LX0201,SMD,
11,"J1,J2",2,Sullins,PRPC004SACN-RC,"CONN HEADER 4 POS .100"" SGL GOLD MATING 5.84mm TAIL 8.13mm",reDIP:PinHeader_1x04_P2.54mm_Vertical_LongTail,thru-hole,
12,"J3,J4",2,Sullins,PRPC010SAAN-RC,"CONN HEADER 10 POS .100"" SGL GOLD MATING 5.84mm TAIL 3.05mm",reDIP:PinHeader_1x10_P2.54mm_Vertical,thru-hole,
13,J5,1,HRO,TYPE-C-31-M-12,CONN USB-C,HRO:USB_C_Receptacle_HRO_TYPE-C-31-M-12,SMD,"PIN-IN-PASTE, paste overprinting included in design"
14,J6,1,Sullins,PRPC005DAAN-RC,"CONN HEADER 2x5 POS .100"" DBL GOLD MATING 5.84mm TAIL 3.05mm",reDIP:PinHeader_2x05_P2.54mm_Vertical,thru-hole,
15,"R1,R2,R9",3,Panasonic,ERJ-1GNJ222C,RES 2.2kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
16,"R4,R5",2,Panasonic,ERJ-1GNJ512C,RES 5.1kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
17,R6,1,Panasonic,ERJ-1GNJ101C,RES 100Ω 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
18,"R3,R8",2,Panasonic,ERJ-1GNJ152C,RES 1.5kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
19,"R7,R10,R11",3,Panasonic,ERJ-1GNJ103C,RES 10kΩ 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
20,"R12,R13",2,Panasonic,ERJ-1GN0R00C,RES 0Ω 50mW 1% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
21,R14,1,Panasonic,ERJ-1GNJ220C,RES 22Ω 50mW 5% 0201,Resistor_SMD:R_0201_0603Metric,SMD,
22,SW1,1,C&K,KXT331LHS,SW TACT 3.0 x 2.0 mm,CK:SW_SPST_CK_KXT3,SMD,
23,U1,1,ON Semiconductor,NCP115AMX120TCG,IC REG LDO 1.2V 300mA XDFN4,ONSemi:CASE_711AJ_1.0x1.0mm_P0.65mm,SMD,
24,U2,1,ON Semiconductor,NCP167AMX330TBG,IC REG LDO 3.3V 700mA XDFN4,ONSemi:CASE_711AJ_1.0x1.0mm_P0.65mm,SMD,
25,U3,1,TI,SN74CBTD16211DGVR,IC BUS SWITCH WITH LEVEL SHIFTER TVSOP-56,TI:Texas_TVSOP-56_4.4x11.3mm_P0.4mm,SMD,
26,U4,1,NXP,SGTL5000XNLA3,IC AUDIO CODEC UQFN-20,Package_DFN_QFN:QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,SMD,ALTERNATIVE PART #: SGTL5000XNLA3R2
27,U5,1,ON Semiconductor,NUF2042XV6T1G,IC USB TERMINATOR ESD PROTECTION SOT-563,ONSemi:CASE_463A_1.6x1.2mm_P0.5mm,SMD,
28,U6,1,AP Memory,APS6404L-3SQR-SN,IC PSRAM 64Mbit SOP-8,Package_SO:SOP-8_3.9x4.9mm_P1.27mm,SMD,"REPLACEMENT PARTS: Lyontek LY68L6400SLIT, Espressif ESP-PSRAM64H, IPUS IPS6404L-SQ"
29,U7,1,Winbond,W25Q128JVPIM,IC FLASH 128Mbit WSON-8,Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,SMD,ALTERNATIVE PART #: W25Q128JVPIM TR
30,U8,1,Lattice,ICE40UP5K-SG48I,IC FPGA QFN-48,Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,SMD,
31,X1,1,ECS,ECS-1612MV-240-CN-TR,OSC 24 MHz 25 ppm 1.6x1.2 mm,reDIP:Oscillator_SMD-4Pin_1.6x1.2mm,SMD,
