Designator,Mid X,Mid Y,Layer,Rotation
C1,6.29,26.74,T,90.0
C10,14.38,26.6,T,180.0
C11,13.49,6.66,T,0.0
C12,13.49,9.5,T,0.0
C13,4.86,13.12,T,135.0
C14,4.62,19.85,T,45.0
C15,14.47,19.94,T,0.0
C16,14.47,20.64,T,0.0
C17,3.38,18.1,T,225.0
C18,3.87,14.61,T,225.0
C19,4.36,14.11,T,225.0
C2,5.5,24.87,T,270.0
C20,14.47,18.58,T,0.0
C3,4.37,26.74,T,90.0
C4,3.2,24.87,T,270.0
C5,12.55,26.6,T,0.0
C6,14.47,21.34,T,0.0
C7,14.38,25.2,T,0.0
C8,14.38,25.9,T,0.0
C9,14.38,27.3,T,180.0
D1,5.33,26.85,T,90.0
D2,3.41,26.85,T,90.0
D3,14.58,6.83,T,270.0
D4,14.58,9.33,T,90.0
J1,1.27,34.29,B,180.0
J2,16.51,34.29,B,180.0
J3,1.27,24.13,B,180.0
J4,16.51,24.13,B,180.0
J5,8.89,32.92,T,180.0
J6,13.97,3.81,T,270.0
R1,13.49,7.73,T,180.0
R10,5.22,8.53,T,90.0
R11,5.22,9.94,T,270.0
R12,3.38,16.46,T,135.0
R13,3.88,19.1,T,135.0
R14,7.09,22.14,T,45.0
R2,13.49,8.43,T,180.0
R3,3.38,13.31,T,315.0
R4,7.1,26.95,T,90.0
R5,12.55,27.3,T,180.0
R6,5.36,13.61,T,135.0
R7,6.59,22.63,T,225.0
R8,13.49,5.96,T,0.0
R9,13.49,10.2,T,0.0
SW1,13.56,12.72,T,90.0
U1,6.65,24.97,T,0.0
U2,4.35,24.97,T,0.0
U3,8.89,15.39,B,90.0
U4,12.27,23.25,T,135.0
U5,8.55,26.55,T,90.0
U6,8.89,8.36,B,0.0
U7,8.89,8.36,T,0.0
U8,8.89,17.28,T,225.0
X1,10.75,26.75,T,270.0
