Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0402_1005Metric",6.290000,26.740000,90.000000,top
"C2","1uF","C_0201_0603Metric",5.500000,24.870000,270.000000,top
"C3","1uF","C_0402_1005Metric",4.370000,26.740000,90.000000,top
"C4","1uF","C_0201_0603Metric",3.200000,24.870000,270.000000,top
"C5","0.1uF","C_0201_0603Metric",12.550000,26.600000,0.000000,top
"C6","0.1uF","C_0201_0603Metric",14.470000,21.380000,0.000000,top
"C7","0.1uF","C_0201_0603Metric",14.380000,25.200000,0.000000,top
"C8","1uF","C_0201_0603Metric",14.380000,25.900000,0.000000,top
"C9","1uF","C_0201_0603Metric",14.380000,27.300000,180.000000,top
"C10","1uF","C_0201_0603Metric",14.380000,26.600000,180.000000,top
"C11","1uF","C_0201_0603Metric",13.490000,6.660000,0.000000,top
"C12","0.1uF","C_0201_0603Metric",13.490000,9.500000,0.000000,top
"C13","0.1uF","C_0201_0603Metric",4.860000,13.120000,135.000000,top
"C14","0.1uF","C_0201_0603Metric",4.620000,19.850000,45.000000,top
"C15","1uF","C_0201_0603Metric",14.470000,20.680000,0.000000,top
"C16","0.1uF","C_0201_0603Metric",14.470000,19.980000,0.000000,top
"C17","10n","C_0201_0603Metric",14.470000,19.280000,0.000000,top
"C18","0.1uF","C_0201_0603Metric",3.380000,18.100000,225.000000,top
"C19","0.1uF","C_0201_0603Metric",3.723726,14.783726,225.000000,top
"C20","10uF","C_0402_1005Metric",4.390589,14.300589,225.000000,top
"C21","0.1uF","C_0201_0603Metric",14.470000,18.580000,0.000000,top
"D1","PMEG2010BELD","D_SOD-882D",5.330000,26.850000,90.000000,top
"D2","PMEG2010BELD","D_SOD-882D",3.410000,26.850000,90.000000,top
"D3","SML-LX0201USBC-TR","SML-LX0201",14.580000,6.830000,270.000000,top
"D4","SML-LX0201UPGC-TR","SML-LX0201",14.580000,9.330000,90.000000,top
"J5","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",8.890000,32.920000,180.000000,top
"R1","2.2k","R_0201_0603Metric",13.490000,7.730000,180.000000,top
"R2","2.2k","R_0201_0603Metric",13.490000,8.430000,180.000000,top
"R3","1.5k","R_0201_0603Metric",3.376274,13.320000,315.000000,top
"R4","5.1k","R_0201_0603Metric",7.100000,26.950000,90.000000,top
"R5","5.1k","R_0201_0603Metric",12.550000,27.300000,180.000000,top
"R6","100","R_0201_0603Metric",5.360000,13.610000,135.000000,top
"R7","10k","R_0201_0603Metric",6.590000,22.630000,225.000000,top
"R8","1.5k","R_0201_0603Metric",13.490000,5.960000,0.000000,top
"R9","2.2k","R_0201_0603Metric",13.490000,10.200000,0.000000,top
"R10","10k","R_0201_0603Metric",5.220000,8.530000,90.000000,top
"R11","10k","R_0201_0603Metric",5.220000,9.940000,270.000000,top
"R12","0","R_0201_0603Metric",3.380000,16.460000,135.000000,top
"R13","0","R_0201_0603Metric",3.880000,19.100000,135.000000,top
"R14","22","R_0201_0603Metric",7.090000,22.140000,45.000000,top
"SW1","KXT331LHS","SW_SPST_CK_KXT3",13.560000,12.720000,90.000000,top
"U1","NCP115AMX120TCG","CASE_711AJ_1.0x1.0mm_P0.65mm",6.650000,24.970000,0.000000,top
"U2","NCP167AMX330TBG","CASE_711AJ_1.0x1.0mm_P0.65mm",4.350000,24.970000,0.000000,top
"U4","SGTL5000XNLA3","QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm",12.270000,23.250000,135.000000,top
"U5","NUF2042XV6","CASE_463A_1.6x1.2mm_P0.5mm",8.550000,26.550000,90.000000,top
"U7","W25Q128JVPIM","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm",8.890000,8.360000,0.000000,top
"U8","ICE40UP5K-SG48I","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",8.890000,17.280000,225.000000,top
"X1","ECS-1612MV-240-CN-TR","Oscillator_SMD-4Pin_1.6x1.2mm",10.750000,26.750000,270.000000,top
